site,genome,call,category,gene_function,Gene.abbreviation,Gene.name,hits,gene_counts,rel_hits
D1,simplified,fegenie,iron_aquisition-siderophore_synthesis,PvdP-family-siderophore-synthesis,NA,NA,1,128801,7.763914876437295e-4
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,ExbB-family,NA,NA,68,128801,0.052794621159773604
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,ExbD-family,NA,NA,77,128801,0.059782144548567166
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,FptC-family-siderophore-transport,NA,NA,2,128801,0.001552782975287459
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,FptX-family-siderophore-transport,NA,NA,2,128801,0.001552782975287459
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,FpvC-family-siderophore-transport,NA,NA,4,128801,0.003105565950574918
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,FpvD-family-siderophore-transport,NA,NA,8,128801,0.006211131901149836
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,FpvE-family-permease,NA,NA,28,128801,0.021738961654024426
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,FpvF-family-siderophore-transport,NA,NA,1,128801,7.763914876437295e-4
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,FpvG-family-siderophore-transport,NA,NA,8,128801,0.006211131901149836
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,FpvH-family-siderophore-transport,NA,NA,2,128801,0.001552782975287459
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,FpvJ-family-siderophore-transport,NA,NA,2,128801,0.001552782975287459
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,FpvK-family-hypothetical,NA,NA,2,128801,0.001552782975287459
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,HatD-family-substrate-binding-protein,NA,NA,17,128801,0.013198655289943401
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,LbtU-family-siderophore receptor,NA,NA,3,128801,0.0023291744629311884
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,PirA-family-siderophore-receptor,NA,NA,26,128801,0.02018617867873697
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,PiuA-family-siderophore-receptor,NA,NA,12,128801,0.009316697851724754
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,PvdR-family-sideropore-export,NA,NA,9,128801,0.006987523388793565
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,PvdT-family-siderophore-export,NA,NA,14,128801,0.010869480827012213
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,PvuD-family-ATP-binding-protein,NA,NA,4,128801,0.003105565950574918
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,PvuE-family-ATP-binding-protein,NA,NA,2,128801,0.001552782975287459
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,PvuE-family-permease,NA,NA,5,128801,0.0038819574382186477
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,TonB-family,NA,NA,31,128801,0.024068136116955616
D1,simplified,fegenie,iron_aquisition-siderophore_transport_potential,YqjH-family-iron-reductase,NA,NA,1,128801,7.763914876437295e-4
D1,simplified,fegenie,iron_gene_regulation,PF01325-Iron_dependent_repressor-dtxR_family_N,NA,NA,1,128801,7.763914876437295e-4
D1,simplified,fegenie,iron_gene_regulation,PF01475-Iron_dependent_repressor-fur_family,NA,NA,49,128801,0.03804318289454275
D1,simplified,fegenie,iron_gene_regulation,PF02742-Iron_dependent_repressor-dtxR_family_metal_binding_domain,NA,NA,8,128801,0.006211131901149836
D1,simplified,fegenie,iron_gene_regulation,PF04773_FecR,NA,NA,77,128801,0.059782144548567166
D1,simplified,fegenie,iron_gene_regulation,PF09012_sub-FeoC_like_transcriptional_regulator,NA,NA,2,128801,0.001552782975287459
D1,simplified,fegenie,iron_gene_regulation,Sid_PchR_pyochelin_regulator_Pseudomonas_aeruginosa_PA4227_180623,NA,NA,92,128801,0.07142801686322311
D1,simplified,fegenie,iron_gene_regulation,Sid_PvdS_regulator_Paeruginosa_PA2426_180620,NA,NA,70,128801,0.05434740413506106
D1,simplified,fegenie,iron_gene_regulation,Sid_YqjI_regulator_for_YqjH_P64588_Escherichia_coli_180606,NA,NA,5,128801,0.0038819574382186477
D1,simplified,fegenie,iron_oxidation,Cyc2_repCluster1,NA,NA,8,128801,0.006211131901149836
D1,simplified,fegenie,iron_oxidation,Cyc2_repCluster3,NA,NA,2,128801,0.001552782975287459
D1,simplified,fegenie,iron_storage,PF00210-Ferritin_like_domain,NA,NA,33,128801,0.025620919092243073
D1,simplified,fegenie,iron_storage,PF13668_Ferritin_like_domain,NA,NA,6,128801,0.004658348925862377
D1,simplified,fegenie,possible_iron_oxidation_and_possible_iron_reduction,MtoA,NA,NA,1,128801,7.763914876437295e-4
D1,simplified,fegenie,possible_iron_oxidation_and_possible_iron_reduction,MtrB_TIGR03509,NA,NA,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Amino acid utilization,4-aminobutyrate aminotransferase and related aminotransferases,4-aminobutyrate aminotransferase and related aminotransferases,4-aminobutyrate aminotransferase and related aminotransferases,3,128801,0.0023291744629311884
D1,simplified,metabolic,Amino acid utilization,Aspartate/tyrosine/aromatic aminotransferase,aspartate/tyrosine/aromatic aminotransferase,aspartate/tyrosine/aromatic aminotransferase,2,128801,0.001552782975287459
D1,simplified,metabolic,Amino acid utilization,Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase,4,128801,0.003105565950574918
D1,simplified,metabolic,Amino acid utilization,Histidinol-phosphate/aromatic aminotransferase,histidinol-phosphate/aromatic aminotransferase,histidinol-phosphate/aromatic aminotransferase,6,128801,0.004658348925862377
D1,simplified,metabolic,Amino acid utilization,Ornithine/acetylornithine aminotransferase,ornithine/acetylornithine aminotransferase,ornithine/acetylornithine aminotransferase,6,128801,0.004658348925862377
D1,simplified,metabolic,Amino acid utilization,Phosphoserine aminotransferase,phosphoserine aminotransferase,phosphoserine aminotransferase,3,128801,0.0023291744629311884
D1,simplified,metabolic,Aromatics degradation,Phenol => Benzoyl-CoA,ubiX,flavin prenyltransferase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Aromatics degradation,Protocatechuate/Catechol degradation,catA,"catechol 1,2-dioxygenase",1,128801,7.763914876437295e-4
D1,simplified,metabolic,As cycling,Arsenate reduction,arsC1,arsenate reductase (glutaredoxin),5,128801,0.0038819574382186477
D1,simplified,metabolic,As cycling,Arsenate reduction,arsC2,arsenate reductase (thioredoxin),5,128801,0.0038819574382186477
D1,simplified,metabolic,As cycling,Arsenite oxidation,aoxA,arsenite oxidase small subunit,1,128801,7.763914876437295e-4
D1,simplified,metabolic,As cycling,Arsenite oxidation,aoxB,arsenite oxidase large subunit,1,128801,7.763914876437295e-4
D1,simplified,metabolic,C1 metabolism,Aerobic CO oxidation,coxM,aerobic carbon-monoxide dehydrogenase medium subunit,1,128801,7.763914876437295e-4
D1,simplified,metabolic,C1 metabolism,Aerobic CO oxidation,coxS,aerobic carbon-monoxide dehydrogenase small subunit,1,128801,7.763914876437295e-4
D1,simplified,metabolic,C1 metabolism,Formaldehyde oxidation,fghA,S-formylglutathione hydrolase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,C1 metabolism,Formaldehyde oxidation,frmA,S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase,2,128801,0.001552782975287459
D1,simplified,metabolic,C1 metabolism,Formate oxidation,fdoG,formate dehydrogenase major subunit,2,128801,0.001552782975287459
D1,simplified,metabolic,C1 metabolism,Formate oxidation,fdoH,formate dehydrogenase iron-sulfur subunit,1,128801,7.763914876437295e-4
D1,simplified,metabolic,C1 metabolism,Formate oxidation,fdwB,formate dehydrogenase beta subunit,1,128801,7.763914876437295e-4
D1,simplified,metabolic,C1 metabolism,Methanol oxidation,mxaF,methanol dehydrogenase (cytochrome c) subunit 1,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Carbon fixation,3 Hydroxypropionate cycle,prpE,propionyl-CoA synthetase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Complex carbon degradation,Amylolytic enzymes,alpha-amylase,alpha-amylase,2,128801,0.001552782975287459
D1,simplified,metabolic,Complex carbon degradation,Amylolytic enzymes,glucoamylase,glucoamylase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Complex carbon degradation,Amylolytic enzymes,isoamylase,isoamylase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Complex carbon degradation,Cellulose degrading,beta-glucosidase,beta-glucosidase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Complex carbon degradation,Chitin degrading,hexosaminidase,hexosaminidase,3,128801,0.0023291744629311884
D1,simplified,metabolic,Complex carbon degradation,Other oligosaccharide degrading,beta-galactosidase,beta-galactosidase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Ethanol fermentation,Acetaldehyde => Ethanol,acetaldehyde => ethanol,acetaldehyde => ethanol,2,128801,0.001552782975287459
D1,simplified,metabolic,Ethanol fermentation,Acetate => Acetaldehyde,acetate => acetaldehyde,acetate => acetaldehyde,2,128801,0.001552782975287459
D1,simplified,metabolic,Fatty acid degradation,Fatty acid degradation,acyl-CoA dehydrogenase,acyl-CoA dehydrogenase,21,128801,0.016304221240518318
D1,simplified,metabolic,Fermentation,Acetate to acetyl-CoA,acs,acetyl-CoA synthetase,4,128801,0.003105565950574918
D1,simplified,metabolic,Fermentation,Acetogenesis,acdA,"acetyl coenzyme A synthetase (ADP forming), alpha domain",1,128801,7.763914876437295e-4
D1,simplified,metabolic,Fermentation,Acetogenesis,ack,acetate kinase,2,128801,0.001552782975287459
D1,simplified,metabolic,Fermentation,Acetogenesis,pta,phosphate acetyltransferase,2,128801,0.001552782975287459
D1,simplified,metabolic,Fermentation,Pyruvate oxidation,porA,pyruvate ferredoxin oxidoreductase alpha subunit,2,128801,0.001552782975287459
D1,simplified,metabolic,Hydrogenases,Ni-Fe Hydrogenase,nife-group-1,"Ni-Fe Hydrogenase, H2-uptake",2,128801,0.001552782975287459
D1,simplified,metabolic,Hydrogenases,Ni-Fe Hydrogenase,nife-group-3abd,"Ni-Fe Hydrogenase, Bidirectional",1,128801,7.763914876437295e-4
D1,simplified,metabolic,Hydrogenases,Ni-Fe Hydrogenase,nife-group-4a-g,"Ni-Fe Hydrogenase, H2-evolving",1,128801,7.763914876437295e-4
D1,simplified,metabolic,Methane metabolism,Methane oxidation - Soluble methane monoxygenase,mmoB,methane monooxygenase regulatory protein B,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Nitrogen cycling,N2 fixation,nifH,nitrogenase iron protein,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Nitrogen cycling,Nitrate reduction,napA,periplasmic nitrate reductase NapA,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Nitrogen cycling,Nitrate reduction,narG,"nitrate reductase / nitrite oxidoreductase, alpha subunit",3,128801,0.0023291744629311884
D1,simplified,metabolic,Nitrogen cycling,Nitrate reduction,narH,"nitrate reductase / nitrite oxidoreductase, beta subunit",2,128801,0.001552782975287459
D1,simplified,metabolic,Nitrogen cycling,Nitric oxide reduction,norB,nitric oxide reductase subunit B,2,128801,0.001552782975287459
D1,simplified,metabolic,Nitrogen cycling,Nitric oxide reduction,norC,nitric oxide reductase subunit C,2,128801,0.001552782975287459
D1,simplified,metabolic,Nitrogen cycling,Nitrite reduction,nirS,nitrite reductase (NO-forming) / hydroxylamine reductase,2,128801,0.001552782975287459
D1,simplified,metabolic,Nitrogen cycling,Nitrite reduction to ammonia,nirB,nitrite reductase (NADH) large subunit,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Nitrogen cycling,Nitrite reduction to ammonia,nirD,nitrite reductase (NADH) small subunit,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Nitrogen cycling,Nitrite reduction to ammonia,nrfA,nitrite reductase (cytochrome c-552),2,128801,0.001552782975287459
D1,simplified,metabolic,Nitrogen cycling,Nitrite reduction to ammonia,nrfH,cytochrome c nitrite reductase small subunit,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Oxidative phosphorylation,Complex I (NADH-quinone oxidoreductase),nuoA,NADH-quinone oxidoreductase subunit A,3,128801,0.0023291744629311884
D1,simplified,metabolic,Oxidative phosphorylation,Complex I (NADH-quinone oxidoreductase),nuoB,NADH-quinone oxidoreductase subunit B,4,128801,0.003105565950574918
D1,simplified,metabolic,Oxidative phosphorylation,Complex I (NADH-quinone oxidoreductase),nuoC,NADH-quinone oxidoreductase subunit C,2,128801,0.001552782975287459
D1,simplified,metabolic,Oxidative phosphorylation,Complex II (Succinate dehydrogenase/Fumarate reductase),sdhC,"succinate dehydrogenase / fumarate reductase, cytochrome b subunit",3,128801,0.0023291744629311884
D1,simplified,metabolic,Oxidative phosphorylation,Complex II (Succinate dehydrogenase/Fumarate reductase),sdhD,"succinate dehydrogenase / fumarate reductase, membrane anchor subunit",3,128801,0.0023291744629311884
D1,simplified,metabolic,Oxidative phosphorylation,Complex III (Cytochrome c reductase),fbcH,ubiquinol-cytochrome c reductase cytochrome b/c1 subunit,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Oxidative phosphorylation,Complex III (Cytochrome c reductase),petA,ubiquinol-cytochrome c reductase iron-sulfur subunit,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Oxidative phosphorylation,Complex III (Cytochrome c reductase),petB,ubiquinol-cytochrome c reductase cytochrome b/c1 subunit,3,128801,0.0023291744629311884
D1,simplified,metabolic,Oxidative phosphorylation,Complex V (F-type H+-transporting ATPase),atpA (F-type),F-type H+/Na+-transporting ATPase subunit alpha,5,128801,0.0038819574382186477
D1,simplified,metabolic,Oxidative phosphorylation,Complex V (F-type H+-transporting ATPase),atpD (F-type),F-type H+/Na+-transporting ATPase subunit beta,4,128801,0.003105565950574918
D1,simplified,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bd type",cydA,cytochrome bd ubiquinol oxidase subunit I,3,128801,0.0023291744629311884
D1,simplified,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bd type",cydB,cytochrome bd ubiquinol oxidase subunit II,2,128801,0.001552782975287459
D1,simplified,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bo type",cyoA,cytochrome o ubiquinol oxidase subunit II,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, caa3-type",coxA,cytochrome c oxidase subunit I,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, cbb3-type",ccoN,cytochrome c oxidase cbb3-type subunit I,5,128801,0.0038819574382186477
D1,simplified,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, cbb3-type",ccoO,cytochrome c oxidase cbb3-type subunit II,3,128801,0.0023291744629311884
D1,simplified,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, cbb3-type",ccoP,cytochrome c oxidase cbb3-type subunit III,5,128801,0.0038819574382186477
D1,simplified,metabolic,Sulfur cycling,Sulfate reduction,sat,sulfate adenylyltransferase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling,Sulfide oxidation,sqr,sulfide:quinone oxidoreductase,2,128801,0.001552782975287459
D1,simplified,metabolic,Sulfur cycling,Sulfur oxidation,sdo,sulfur dioxygenase,4,128801,0.003105565950574918
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| PAPS (3'-Phosphoadenosine 5'-phosphosulfate) <-> Sulfite,cysH,phosphoadenosine phosphosulfate reductase,3,128801,0.0023291744629311884
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| Sulfate <-> APS (Adenosine 5'-phosphosulfate),cysD,sulfate adenylyltransferase subunit 2,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| Sulfate <-> APS (Adenosine 5'-phosphosulfate),cysN,sulfate adenylyltransferase subunit 1,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Assimilatory sulfur metabolism| Sulfide -> Cysteine,cysK,cysteine synthase,3,128801,0.0023291744629311884
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfate reduction,aprB,"adenylylsulfate reductase, subunit B",1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfate reduction,sat,sulfate adenylyltransferase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfide oxidation,sqr,sulfide:quinone oxidoreductase,2,128801,0.001552782975287459
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation,sdo,sulfur dioxygenase,4,128801,0.003105565950574918
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Sulfur oxidation/Sulfite reduction,dsrR,"dissimilatory sulfite reductase, subunit R",1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Dissimilatory sulfur metabolism | Thiosulfate oxidation,soxYZ,soxYZ_like_carrier,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),DMSO metabolism | DMS (Dimethyl sulfide) <-> Methanethiol,dmoB,dimethyl-sulfide monooxygenase subunit B,5,128801,0.0038819574382186477
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),DMSO metabolism | DMS (Dimethyl sulfide) <-> Methanethiol,mddA,methanethiol S-methyltransferase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),DMSO metabolism | DMSO (Dimethyl sulfoxide) -> Methanesulfonate,msuD,methanesulfonate monooxygenase,2,128801,0.001552782975287459
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),DMSO metabolism | DMSO (Dimethyl sulfoxide) -> Methanesulfonate,sfnG,dimethylsulfone monooxygenase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),DMSO metabolism | DMSO (Dimethyl sulfoxide) <-> DMS (Dimethyl sulfide),ddhA,dimethylsulfide dehydrogenase subunit alpha,7,128801,0.0054347404135061065
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | Cystathionine -> Homocysteine,malY,cysteine-S-conjugate beta-lyase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | Cysteine <-> 3-mercaptopyruvate,aspB,aspartate aminotransferase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | Cysteine <-> Cystathionine,metB,cystathionine gamma-synthase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | Homocysteine -> Methionine,metH,5-methyltetrahydrofolate--homocysteine methyltransferase,3,128801,0.0023291744629311884
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | Homocysteine <-> Methionine,metE,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,3,128801,0.0023291744629311884
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | MHO (L-methionine (R)-S-oxide) -> Methionine),msrC,L-methionine (R)-S-oxide reductase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Metabolism of organic sulfur | SAH (S-adenosyl-L-homocysteine) -> Homocysteine,ahcY,adenosylhomocysteinase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Sulfite production from organic sulfur | Alkylsulfonate/Isethionate -> Sulfite,ssuD,alkanesulfonate monooxygenase,2,128801,0.001552782975287459
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Sulfite production from organic sulfur | Taurine -> Sulfite,tauD,taurine dioxygenase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | Cysteine -> Sulfide,cysK,cysteine synthase,3,128801,0.0023291744629311884
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | Cysteine -> Sulfide,dcyD,D-cysteine desulfhydrase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | Cysteine -> Sulfide,malY,cysteine-S-conjugate beta-lyase,1,128801,7.763914876437295e-4
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | Methionine -> Methanethiol,megL,methionine gamma-lyase,2,128801,0.001552782975287459
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | Methionine -> SAMe (S-adenosyl-L-methionine),metK,S-adenosylmethionine synthetase,5,128801,0.0038819574382186477
D1,simplified,metabolic,Sulfur cycling enzymes (detailed),Sulfur-related amino acid metabolism | SAMe (S-adenosyl-L-methionine) -> SAH (S-adenosyl-L-homocysteine),dcm,DNA (cytosine-5)-methyltransferase 1,3,128801,0.0023291744629311884
D2,simplified,ambiguous,"iron_reduction,Nitrogen cycling","DFE_0462,Nitrite reduction to ammonia",nrfH,cytochrome c nitrite reductase small subunit,1,378180,2.644243481939817e-4
D2,simplified,ambiguous,"possible_iron_oxidation_and_possible_iron_reduction,Metal reduction","MtrB_TIGR03509,Metal (Iron/Manganese) reduction",mtrB,"decaheme-associated outer membrane protein, MtrB/PioB family",1,378180,2.644243481939817e-4
D2,simplified,ambiguous,"probable_iron_reduction,Metal reduction","MtrB_TIGR03509,Metal (Iron/Manganese) reduction",mtrB,"decaheme-associated outer membrane protein, MtrB/PioB family",1,378180,2.644243481939817e-4
D2,simplified,ambiguous,"probable_iron_reduction,Metal reduction","MtrC_TIGR03507,Metal (Iron/Manganese) reduction",mtrC,"decaheme c-type cytochrome, OmcA/MtrC family",2,378180,5.288486963879634e-4
D2,simplified,fegenie,iron_aquisition-heme_oxygenase,HemS-family-heme-degradation,NA,NA,1,378180,2.644243481939817e-4
D2,simplified,fegenie,iron_aquisition-heme_transport,ChaN-family-substrate-binding-protein,NA,NA,2,378180,5.288486963879634e-4
D2,simplified,fegenie,iron_aquisition-heme_transport,HmuV-family-ATP-binding-protein,NA,NA,19,378180,0.005024062615685652
D2,simplified,fegenie,iron_aquisition-iron_transport,FbpA-family-iron-binding-protein,NA,NA,3,378180,7.932730445819451e-4
D2,simplified,fegenie,iron_aquisition-iron_transport,FbpB-family-iron-permease,NA,NA,3,378180,7.932730445819451e-4
D2,simplified,fegenie,iron_aquisition-iron_transport,FbpB-FutB-family-iron-permease,NA,NA,6,378180,0.0015865460891638901
D2,simplified,fegenie,iron_aquisition-iron_transport,FbpC-family-ATPase,NA,NA,4,378180,0.0010576973927759268
D2,simplified,fegenie,iron_aquisition-iron_transport,FeoA-family-iron-transporter,NA,NA,55,378180,0.014543339150668994
D2,simplified,fegenie,iron_aquisition-iron_transport,FeoB-family-iron-transporter,NA,NA,56,378180,0.014807763498862975
D2,simplified,fegenie,iron_aquisition-iron_transport,FeoE-family-iron-efflux,NA,NA,9,378180,0.002379819133745835
D2,simplified,fegenie,iron_aquisition-iron_transport,FutA1-family-iron-binding-proteins,NA,NA,2,378180,5.288486963879634e-4
D2,simplified,fegenie,iron_aquisition-iron_transport,FutA2-family-iron-binding-proteins,NA,NA,2,378180,5.288486963879634e-4
D2,simplified,fegenie,iron_aquisition-iron_transport,FutC-family-ATPase,NA,NA,4,378180,0.0010576973927759268
D2,simplified,fegenie,iron_aquisition-iron_transport,Nramp-family-protein,NA,NA,2,378180,5.288486963879634e-4
D2,simplified,fegenie,iron_aquisition-iron_transport,YfeA-family-iron-binding-proteins,NA,NA,16,378180,0.004230789571103707
D2,simplified,fegenie,iron_aquisition-iron_transport,YfeB-family-membrane-proteins,NA,NA,25,378180,0.006610608704849543
D2,simplified,fegenie,iron_aquisition-iron_transport,Zip-family-zink-and-iron-uptake,NA,NA,4,378180,0.0010576973927759268
D2,simplified,fegenie,iron_aquisition-siderophore_transport_potential,EntS-family-siderophore-export,NA,NA,2,378180,5.288486963879634e-4
D2,simplified,fegenie,iron_aquisition-siderophore_transport_potential,ExbB-family,NA,NA,145,378180,0.03834153048812734
