site,genome,hits,gene_counts,Completeness,Contamination,domain,phylum,class,order,family,genus,species
D2,1,140,3698,99.48,0.57,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,NA
D2,2,69,3281,97.73,1.7,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,UBA1845,NA,NA
D2,3,101,4157,97.27,2.78,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,NA,NA
D2,4,72,2878,96.7,1.64,Bacteria,Bacteroidota,UBA10030,UBA10030,NA,NA,NA
D2,5,53,1603,95.16,1.68,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,NA,NA
D2,6,81,2544,93.89,1.1,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,Zixibacteria-1,NA,NA
D2,7,16,1392,93.46,0,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10161,NA,NA
D2,8,89,2390,92.44,1.01,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27,NA
D2,9,80,3771,90.34,5.68,Bacteria,Planctomycetota,Phycisphaerae,UBA1845,NA,NA,NA
D2,10,95,2933,87.42,0.65,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfatibacillaceae,NA,NA
D2,11,29,1276,86.84,5.11,Bacteria,Omnitrophota,koll11,1-14-0-20-42-13,NA,NA,NA
D2,12,30,2659,86.57,9.51,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,NA,NA
D2,13,137,2563,86.57,0.96,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA6898,NA,NA
D2,14,11,1286,86.14,0,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,UBA97,NA,NA
D2,15,11,1229,82.71,0,Archaea,Nanoarchaeota,Woesearchaeia,SM23-78,UBA9642,UBA9642,NA
D2,16,129,2672,81.98,2.96,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,NA
D2,17,93,2773,78.95,1.75,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,NA,NA
D2,18,77,2463,78.58,2.61,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,UBA1563,NA
D2,19,8,863,76.7,0,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Vogelbacteraceae,NA,NA
D2,20,33,1730,75.38,5.38,Bacteria,Omnitrophota,koll11,UBA1572,NA,NA,NA
D2,21,7,1058,73.36,1.87,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,GCA-2688035,NA,NA
D2,22,83,2385,72.37,1.55,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,UBA9647,NA
D2,23,7,936,71.1,0,Bacteria,Patescibacteria,ABY1,Veblenbacterales,UBA10138,NA,NA
D2,24,95,3694,70.79,0,Bacteria,Desulfobacterota,Desulfarculia,Adiutricales,NA,NA,NA
D2,25,7,864,69.82,1.85,Bacteria,Patescibacteria,Berkelbacteria,2-12-FULL-50-11,NA,NA,NA
D2,26,15,1076,68.69,0,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,NA,NA,NA
D2,27,13,831,68.32,0.99,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,NA,NA
D2,28,65,2741,67.84,0.54,Bacteria,Planctomycetota,UBA8742,NA,NA,NA,NA
D2,29,10,1016,67.13,1.98,Bacteria,Patescibacteria,ABY1,XYB2-FULL-38-15,NA,NA,NA
D2,30,11,1811,66.53,0,Archaea,Nanoarchaeota,Woesearchaeia,SM23-78,SM23-78,NA,NA
D2,31,66,2823,65.75,1.94,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,YD0425bin50,NA,NA
D2,32,46,1944,64.85,2.58,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,BuS5,NA,NA
D2,33,49,1750,64.69,0.54,Bacteria,Omnitrophota,UBA9649,UBA9649,UBA9649,2-02-FULL-67-20,NA
D2,34,41,1621,63.91,0.95,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,NA
D2,36,48,2557,62.95,1.1,Bacteria,AABM5-125-24,AABM5-125-24,NA,NA,NA,NA
D2,37,41,2776,62.26,0,Bacteria,Zixibacteria,MSB-5A5,NA,NA,NA,NA
D2,38,3,716,60.2,2.87,Bacteria,Patescibacteria,Paceibacteria,UBA6257,2-01-FULL-56-20,NA,NA
D2,39,38,1507,59.84,3.3,Bacteria,Zixibacteria,MSB-5A5,NA,NA,NA,NA
D2,40,33,799,59.83,0,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,NA
D2,41,4,494,59.5,0.99,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,NA
D2,42,12,1449,59.17,2.18,Archaea,Nanoarchaeota,Woesearchaeia,GW2011-AR15,GW2011-AR15,NA,NA
D2,43,31,1513,57.85,1.6,Archaea,Thermoplasmatota,Thermoplasmata_A,UBA10834,UBA10834,COMBO-56-21,NA
D2,44,27,1021,57.7,0,Bacteria,Omnitrophota,koll11,UBA10183,UBA10183,UBA10183,NA
D2,45,54,1689,57.19,0,Bacteria,Desulfobacterota,Desulfobaccia,RBG-13-43-22,NA,NA,NA
D2,46,134,3484,55.17,3.45,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Sulfuritalea,NA
D2,47,37,2901,55.08,7.78,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,NA,NA
D2,48,9,589,53.64,0,Bacteria,Patescibacteria,ABY1,Falkowbacterales,UBA12465,UBA12465,NA
D2,49,9,643,53.16,0,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,GCA-002774445,NA
D2,50,13,847,52.57,0.93,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,1-14-0-10-31-34,1-14-0-10-31-34,NA
D2,51,87,2280,52.36,4.77,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,CG2-30-49-12,CG2-30-49-12,NA
D2,52,5,844,51.45,0,Bacteria,Patescibacteria,Microgenomatia,UBA10105,NA,NA,NA
D2,53,50,1308,50.93,0,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,UBA2262,NA
D2,54,46,1236,50.86,0,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,RBG-16-64-85,NA
D2,55,4,1070,50.01,0.85,Bacteria,Patescibacteria,Paceibacteria,Ryanbacterales,GWA2-47-10b,NA,NA
D2,56,75,3011,49.92,6.02,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,navibacteriae-3,NA
D2,57,89,4635,49.39,8.82,Bacteria,Acidobacteriota,Luteitaleia,NA,NA,NA,NA
D2,58,82,3842,47.54,2.2,Bacteria,Latescibacterota,UBA2968,UBA8231,NA,NA,NA
D2,59,17,801,46.71,0,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,NA
D2,61,3,562,44.87,0.99,Bacteria,Patescibacteria,Berkelbacteria,NA,NA,NA,NA
D2,62,4,421,44.44,3.45,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Nomurabacteraceae,UBA9973,NA
D2,63,26,901,44.17,0,Bacteria,UBA10199,UBA10199,GCA-002796325,1-14-0-20-49-13,NA,NA
D2,64,63,1485,43.61,9.24,Bacteria,MBNT15,MBNT15,MBNT15,NA,NA,NA
D2,65,61,1725,42.47,3.39,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Thiomonas,NA
D2,66,20,557,41.38,0,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,NA
D2,67,27,1368,39.83,0,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,NA,NA
D2,68,34,891,39.66,0,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,GCA-002774445,NA
D2,69,1,324,39.13,0,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,NA,NA,NA
D2,70,30,889,38.79,0,Bacteria,UBA10199,UBA10199,GCA-002796325,1-14-0-20-49-13,NA,NA
D2,71,3,417,38.27,3.99,Bacteria,Patescibacteria,Paceibacteria,UBA9983,Nomurabacteraceae,UBA9973,NA
D2,72,23,3475,37.88,8.24,Bacteria,Omnitrophota,4484-49,NA,NA,NA,NA
D2,73,36,1164,37.18,0.91,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,NA,NA
D2,74,13,561,36.23,1.72,Bacteria,Zixibacteria,MSB-5A5,NA,NA,NA,NA
D2,75,3,589,34.84,1.49,Bacteria,Patescibacteria,Microgenomatia,UBA1400,NA,NA,NA
D2,76,35,1548,33.82,1.72,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,NA
D2,77,6,869,31.78,0,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA11576,NA,NA
D2,78,4,272,31.15,2.42,Bacteria,Patescibacteria,Paceibacteria,UBA9983,NA,NA,NA
D2,79,37,1212,29.51,5.85,Bacteria,Eisenbacteria,RBG-16-71-46,NA,NA,NA,NA
D2,80,19,673,28.32,1.14,Bacteria,Planctomycetota,Brocadiae,SM23-32,NA,NA,NA
D2,81,72,3854,26.3,5.27,Bacteria,Desulfobacterota,Desulfobulbia,NA,NA,NA,NA
D2,83,31,1375,24.11,0,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae_A,NA,NA
D2,84,7,595,23.17,2.98,Bacteria,Patescibacteria,ABY1,Falkowbacterales,GWE2-39-37,NA,NA
D2,85,5,338,22.34,0,Bacteria,Patescibacteria,Paceibacteria,UBA9983,UBA12445,NA,NA
D2,87,17,602,20.69,0,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,um-filter-44-12,NA
D2,88,36,1527,20.47,0,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,UBA5066,NA,NA
D2,89,32,923,20.35,1,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,UBA5619,UBA5619,NA
D2,90,3,524,19.09,0,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,NA,NA
D2,91,2,545,18.69,0,Archaea,Micrarchaeota,Iainarchaeia,0-14-0-20-30-16,NA,NA,NA
D2,92,1,263,16.79,0,Bacteria,Patescibacteria,ABY1,Falkowbacterales,UBA917,NA,NA
D2,93,12,564,16.55,1.1,Bacteria,Zixibacteria,MSB-5A5,NA,NA,NA,NA
D2,94,16,1213,15.81,0,Bacteria,Planctomycetota,Brocadiae,NA,NA,NA,NA
D2,95,12,317,15.18,0,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfococcaceae_A,NA,NA
D2,96,7,315,12.4,0,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,NA,NA,NA
D2,97,40,581,11.8,0,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,NA,NA
D2,98,2,530,11.78,0.86,Bacteria,Patescibacteria,Microgenomatia,GWA2-44-7,Amesbacteraceae,NA,NA
D2,99,17,549,10.34,0,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,NA
D2,100,3,326,10.17,0,Bacteria,UBP1,PRR-12,LZORAL124-64-63,LZORAL124-64-63,um-filter-65-15,NA
D3,1,53,2336,100,0,Bacteria,Edwardsbacteria,AC1,AC1,EtOH8,UBA2226,NA
D3,2,109,3488,98.9,0.55,Bacteria,AABM5-125-24,AABM5-125-24,NA,NA,NA,NA
D3,3,94,2904,98.9,4.95,Bacteria,Zixibacteria,MSB-5A5,NA,NA,NA,NA
D3,4,113,3542,98.88,0.56,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,NA,NA
D3,5,92,3810,96.77,3.41,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Lentimicrobiaceae,NA,NA
D3,6,127,3164,96.37,1.12,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,NA,NA
D3,7,76,2797,95.51,2.25,Bacteria,Goldbacteria-1,Goldbacteria-1,NA,NA,NA,NA
D3,8,143,3803,95.38,1.82,Bacteria,Nitrospirota,UBA9217,UBA9217,UBA9217,NA,NA
D3,9,120,3317,94.81,2.73,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA8401,NA,NA
D3,10,61,2412,94.38,0,Bacteria,Spirochaetota,Brevinematia,Brevinematales,GWF1-51-8,NA,NA
D3,11,53,1980,93.97,2.59,Bacteria,Actinobacteriota,Thermoleophilia,NA,NA,NA,NA
D3,12,108,3153,93.46,0.87,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,NA
D3,13,18,1562,93.22,0,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,NA,NA
D3,14,64,2076,93.15,1.51,Bacteria,Desulfobacterota,Desulfobulbia,NA,NA,NA,NA
D3,15,47,2023,92.69,2.21,Bacteria,Omnitrophota,koll11,UBA6215,NA,NA,NA
D3,16,137,4678,92.26,6.96,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,UBA5616,NA,NA
D3,17,48,1902,91.51,1.08,Bacteria,Omnitrophota,koll11,UBA10015,kpj58rc,NA,NA
D3,18,48,1641,91.06,0,Bacteria,Actinobacteriota,NA,NA,NA,NA,NA
D3,19,42,1589,87.39,3.23,Bacteria,Omnitrophota,koll11,UBA1572,UBA1572,UBA9636,NA
D3,20,4,1338,84.81,0,Archaea,Nanoarchaeota,Woesearchaeia,ARS49,GCA-2687275,NA,NA
D3,21,81,2793,84.78,3.3,Bacteria,Zixibacteria,MSB-5A5,NA,NA,NA,NA
D3,22,101,2951,83.52,0.55,Bacteria,Eisenbacteria,RBG-16-71-46,NA,NA,NA,NA
D3,23,10,1213,82.94,0.93,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,NA,NA
D3,24,5,1252,78.19,1.87,Archaea,Micrarchaeota,Iainarchaeia,NA,NA,NA,NA
D3,25,6,1259,78.04,1.87,Archaea,Micrarchaeota,Iainarchaeia,Iainarchaeales,GCA-2688035,NA,NA
D3,26,94,3061,76.18,0.91,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,UBA6902,NA
D3,27,13,1710,75.74,0,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA11576,NA,NA
D3,29,85,2814,72.73,2.91,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,RBG-16-57-11,NA
D3,30,47,1610,72.67,0.45,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,NA,NA
D3,31,42,1910,72.03,2.26,Bacteria,Desulfobacterota,Desulfomonilia,UBA1062,UBA1062,NA,NA
D3,32,69,2933,71.96,0.97,Bacteria,Desulfobacterota,Desulfobaccia,Desulfobaccales,0-14-0-80-60-11,0-14-0-80-60-11,NA
D3,33,14,1209,70.79,0.93,Archaea,Micrarchaeota,Micrarchaeia,UBA10214,UBA10214,NA,NA
D3,34,5,960,69.31,0,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,NA,NA
D3,35,3,1531,68.22,0.93,Archaea,Nanoarchaeota,Woesearchaeia,GW2011-AR9,GW2011-AR9,um-filter-33-13,NA
D3,36,11,1335,67.82,2.97,Bacteria,Patescibacteria,ABY1,Uhrbacterales,GWF2-40-263,UBA12403,NA
D3,37,11,1374,67.69,0,Archaea,Nanoarchaeota,Woesearchaeia,UBA12501,UBA10107,NA,NA
D3,38,10,1108,67.42,5.56,Bacteria,Patescibacteria,Gracilibacteria,Peregrinibacterales,LOWO2-01-FULL-3,2-01-FULL-39-12,NA
D3,39,17,1045,66.46,0,Archaea,Thermoplasmatota,CG49143,CG49143,CG49143,CG49143,NA
D3,40,4,900,65.97,2.8,Archaea,Nanoarchaeota,Woesearchaeia,Pacearchaeales,GW2011-AR1,NA,NA
D3,41,51,2262,65.45,8.38,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA4781,NA
D3,42,6,826,65.35,0,Bacteria,Patescibacteria,ABY1,Uhrbacterales,UBA9934,UBA11707,NA
D3,43,28,1332,64.69,1.71,Bacteria,Margulisbacteria,WOR-1,O2-12-FULL-45-9,XYB2-FULL-48-7,2-01-FULL-53-15,NA
D3,44,17,1228,64.17,1.08,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA6249,NA
D3,45,37,1260,63,1.14,Bacteria,Planctomycetota,Brocadiae,NA,NA,NA,NA
D3,46,8,940,62.48,3.75,Bacteria,Patescibacteria,Paceibacteria,NA,NA,NA,NA
D3,47,18,1220,62.25,1.86,Bacteria,Margulisbacteria,WOR-1,O2-12-FULL-45-9,NA,NA,NA
D3,48,35,1441,61.37,9.97,Bacteria,Omnitrophota,koll11,GIF10,UBA6249,UBA1562,NA
D3,49,56,2079,61.29,2.45,Bacteria,Firmicutes_E,DTU015,UBA995,NA,NA,NA
D3,50,6,1225,60.69,3.08,Bacteria,Patescibacteria,Microgenomatia,UBA1400,NA,NA,NA
D3,51,87,3560,57.27,7.73,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,NA,NA
D3,52,48,1102,56.79,0,Bacteria,Planctomycetota,Brocadiae,NA,NA,NA,NA
D3,53,41,1776,56.36,0.18,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,UBA4823,NA,NA
D3,54,6,834,54.76,0,Bacteria,Patescibacteria,Microgenomatia,UBA1400,Collierbacteraceae,UBA10133,NA
D3,55,93,2032,52.33,1.83,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Thiobacillus,NA
D3,56,22,1824,51.65,5.83,Bacteria,Fusobacteriota,NA,NA,NA,NA,NA
D3,57,4,1028,51.31,0.99,Bacteria,Patescibacteria,Microgenomatia,UBA10105,UBA927,XYB1-FULL-47-11,NA
D3,58,8,965,50.54,0,Bacteria,Patescibacteria,Paceibacteria,UBA6257,1-14-0-10-40-38,NA,NA
D3,59,27,1592,50,0,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,UBA6170,UBA6170 sp1
D3,60,50,2221,49.78,0.09,Bacteria,Actinobacteriota,RBG-13-55-18,ctinobacteria-3,ctinobacteria-3,NA,NA
D3,61,4,704,49.61,0.86,Bacteria,Patescibacteria,Dojkabacteria,SC72,GCA-002793355,GCA-002793355,NA
D3,62,65,1608,48.89,0.6,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,NA
D3,63,9,1029,48.1,4.17,Bacteria,Patescibacteria,Gracilibacteria,Peregrinibacterales,UBA1369,NA,NA
D3,64,5,446,46.11,2.73,Bacteria,Patescibacteria,Paceibacteria,Paceibacterales,CG1-02-41-26,NA,NA
D3,65,31,1370,43.88,2.05,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,NA,NA
D3,66,21,1285,42.11,2.27,Bacteria,Planctomycetota,NA,NA,NA,NA,NA
D3,68,60,4262,40.28,4.72,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,PLanc-01,NA
D3,70,7,812,39.17,0,Archaea,Micrarchaeota,Micrarchaeia,UBA8480,UBA8480,NA,NA
D3,71,29,588,39.01,0,Bacteria,UBA9089,CG2-30-40-21,CG2-30-40-21,CG2-30-40-21,NA,NA
D3,72,4,682,35.15,0,Bacteria,Patescibacteria,Microgenomatia,UBA1400,Beckwithbacteraceae,NA,NA
D3,73,18,1391,34.02,0,Bacteria,Elusimicrobiota,Elusimicrobia,UBA1565,UBA9628,UBA9628,NA
D3,74,13,1140,33.65,4.95,Bacteria,Firmicutes_E,DTU015,UBA8153,NA,NA,NA
D3,75,31,903,28.34,0.15,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,NA,NA
D3,76,18,992,28.02,4.8,Bacteria,Firmicutes_E,DTU015,UBA9673,UBA9673,NA,NA
D3,77,14,687,27.97,1.14,Bacteria,Planctomycetota,Phycisphaerae,SG8-4,SG8-4,NA,NA
D3,78,2,419,27.94,0,Bacteria,Patescibacteria,ABY1,NA,NA,NA,NA
D3,79,47,1991,27.03,1.81,Bacteria,Chloroflexota,NA,NA,NA,NA,NA
D3,80,13,664,26.56,1.68,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,NA,NA
D3,81,35,1488,25.99,0.55,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,NA,NA
D3,82,1,220,25.16,0,Bacteria,Patescibacteria,ABY1,UBA2591,uenenbacteria-1,uenenbacteria-1,NA
D3,83,8,432,24.22,0,Bacteria,Omnitrophota,koll11,UBA10183,NA,NA,NA
D3,84,10,402,24.14,0.91,Bacteria,Actinobacteriota,UBA9087,UBA9087,NA,NA,NA
D3,85,21,748,23.66,0.18,Bacteria,Bacteroidota,UBA10030,UBA10030,NA,NA,NA
D3,86,35,984,22.81,1.75,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,NA
D3,87,14,758,22.49,0,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10,NA
D3,88,23,428,22.41,0,Bacteria,Omnitrophota,koll11,UBA1560,2-01-FULL-45-10,2-01-FULL-45-10,NA
D3,89,21,1431,22.02,1.72,Bacteria,OLB16,OLB16,OLB16,OLB16,NA,NA
D3,90,24,1014,20.41,0,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,UBA1546,UBA1546,NA
D3,91,6,499,20.41,3.2,Archaea,Thermoplasmatota,E2,hermoplasmata-2,hermoplasmata-2,hermoplasmata-2,NA
D3,92,5,246,19.02,0.05,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,NA,NA
D3,93,30,1306,18.21,1.62,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,UBA10518,NA
D3,94,4,270,15.52,0,Bacteria,Patescibacteria,ABY1,Magasanikibacterales,UBA10003,UBA10003,NA
D3,95,2,407,12.19,0,Bacteria,UBA10199,UBA10199,2-02-FULL-44-16,NA,NA,NA
D3,96,17,458,11.99,0,Bacteria,Actinobacteriota,UBA4738,NA,NA,NA,NA
D3,97,15,525,11.16,0,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfurivibrionaceae,NA,NA
D3,98,6,819,10.42,0,Bacteria,Nitrospirota,Thermodesulfovibrionia,UBA6902,UBA6902,NA,NA
D3,99,21,1003,10.27,0,Bacteria,Zixibacteria,MSB-5A5,Zixibacteria-1,NA,NA,NA
D3,100,19,560,10.18,0,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2-30-66-27,NA
D4,1,81,2147,96.95,0.29,Bacteria,Proteobacteria,Gammaproteobacteria,Halothiobacillales,Halothiobacillaceae,28-57-27,NA
D4,2,99,2859,96.24,1.08,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA6192,NA
D4,3,196,4668,95.99,1.45,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,NA
D4,4,50,1725,93.13,1.64,Bacteria,Bacteroidota,UBA10030,UBA10030,NA,NA,NA
D4,5,101,4147,92.4,6.67,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,NA,NA
D4,6,91,2852,86.81,0,Bacteria,Gemmatimonadota,GCA-2686955,NA,NA,NA,NA
D4,7,39,1425,82.91,1.61,Bacteria,Omnitrophota,koll11,UBA6215,UBA6215,NA,NA
D4,8,107,3377,80.39,1.32,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,NA
D4,9,19,1120,77.93,10.4,Archaea,Hadesarchaeota,YNP-45,YNP-45,YNP-45,NA,NA
D4,10,44,1369,77.74,1.12,Bacteria,UBA9089,UBA9088,UBA9088,NA,NA,NA
D4,11,46,2063,77.17,2.12,Bacteria,Nitrospirota,Thermodesulfovibrionia,Thermodesulfovibrionales,SM23-35,NA,NA
