pathway,call,category,gene_function,Gene.abbreviation
iron_reduction,fegenie,iron_reduction,OmcZ,NA
iron_reduction,metabolic,Metal reduction,Metal (Iron/Manganese) reduction,mtrB
iron_reduction,metabolic,Metal reduction,Metal (Iron/Manganese) reduction,mtrC
methane oxidation,metabolic,Methane metabolism,Methane oxidation - Partculate methane monooxygenase,pmoB
methane oxidation,metabolic,Methane metabolism,Methane oxidation - Partculate methane monooxygenase,pmoC
methane oxidation,metabolic,Methane metabolism,Methane oxidation - Partculate methane monooxygenase,pmoA
methane oxidation,metabolic,Methane metabolism,Methane oxidation - Soluble methane monoxygenase,mmoB
methane oxidation,metabolic,Methane metabolism,Methane oxidation - Soluble methane monoxygenase,mmoD
Methane production,metabolic,Methane metabolism,Methane production,mcrA
Methane production,metabolic,Methane metabolism,Methane production,mcrB
Methane production,metabolic,Methane metabolism,Methane production,mcrC
Nitrate reduction,metabolic,Nitrogen cycling,Nitrate reduction,napA
Nitrate reduction,metabolic,Nitrogen cycling,Nitrate reduction,narG
Nitrate reduction,metabolic,Nitrogen cycling,Nitrate reduction,narH
Nitrate reduction,metabolic,Nitrogen cycling,Nitrate reduction,napB
org C oxidation,metabolic,C1 metabolism,Aerobic CO oxidation,coxM
org C oxidation,metabolic,C1 metabolism,Aerobic CO oxidation,coxS
org C oxidation,metabolic,C1 metabolism,Aerobic CO oxidation,coxL
org C oxidation,metabolic,C1 metabolism,Formaldehyde oxidation,fghA
org C oxidation,metabolic,C1 metabolism,Formaldehyde oxidation,frmA
org C oxidation,metabolic,C1 metabolism,Formaldehyde oxidation,fae
org C oxidation,metabolic,C1 metabolism,Formaldehyde oxidation,fdhA
org C oxidation,metabolic,C1 metabolism,Formate oxidation,fdoG
org C oxidation,metabolic,C1 metabolism,Formate oxidation,fdoH
org C oxidation,metabolic,C1 metabolism,Formate oxidation,fdwB
org C oxidation,metabolic,C1 metabolism,Formate oxidation,fdhA
org C oxidation,metabolic,C1 metabolism,Formate oxidation,fdhB
org C oxidation,metabolic,C1 metabolism,Methanol oxidation,mxaF
org C oxidation,metabolic,C1 metabolism,Methyl amine -> formaldehyde,mauB
org C oxidation,metabolic,C1 metabolism,Methyl amine -> formaldehyde,mauA
oxygen reduction,metabolic,Oxidative phosphorylation,Complex I (NAD(P)H-quinone oxidoreductase),NdhA
oxygen reduction,metabolic,Oxidative phosphorylation,Complex I (NAD(P)H-quinone oxidoreductase),NdhB
oxygen reduction,metabolic,Oxidative phosphorylation,Complex I (NAD(P)H-quinone oxidoreductase),NdhC
oxygen reduction,metabolic,Oxidative phosphorylation,Complex I (NADH-quinone oxidoreductase),nuoA
oxygen reduction,metabolic,Oxidative phosphorylation,Complex I (NADH-quinone oxidoreductase),nuoB
oxygen reduction,metabolic,Oxidative phosphorylation,Complex I (NADH-quinone oxidoreductase),nuoC
oxygen reduction,metabolic,Oxidative phosphorylation,Complex II (Succinate dehydrogenase/Fumarate reductase),sdhC
oxygen reduction,metabolic,Oxidative phosphorylation,Complex II (Succinate dehydrogenase/Fumarate reductase),sdhD
oxygen reduction,metabolic,Oxidative phosphorylation,Complex III (Cytochrome c reductase),fbcH
oxygen reduction,metabolic,Oxidative phosphorylation,Complex III (Cytochrome c reductase),petA
oxygen reduction,metabolic,Oxidative phosphorylation,Complex III (Cytochrome c reductase),petB
oxygen reduction,metabolic,Oxidative phosphorylation,Complex V (ATP synthase: V/A-type H+/Na+-transporting ATPase),atpA (V/A-type)
oxygen reduction,metabolic,Oxidative phosphorylation,Complex V (ATP synthase: V/A-type H+/Na+-transporting ATPase),atpB (V/A-type)
oxygen reduction,metabolic,Oxidative phosphorylation,Complex V (F-type H+-transporting ATPase),atpA (F-type)
oxygen reduction,metabolic,Oxidative phosphorylation,Complex V (F-type H+-transporting ATPase),atpD (F-type)
oxygen reduction,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bd type",cydA
oxygen reduction,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bd type",cydB
oxygen reduction,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bo type",cyoA
oxygen reduction,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bo type",cyoB
oxygen reduction,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bo type",cyoC
oxygen reduction,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome (quinone) oxidase, bo type",cyoD
oxygen reduction,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, caa3-type",coxA
oxygen reduction,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, caa3-type",coxB
oxygen reduction,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, cbb3-type",ccoN
oxygen reduction,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, cbb3-type",ccoO
oxygen reduction,metabolic,Oxygen metabolism (Oxidative phosphorylation Complex IV),"Oxygen metabolism - cytochrome c oxidase, cbb3-type",ccoP
Perchlorate reduction,metabolic,Perchlorate reduction,Perchlorate reduction,pcrA
Perchlorate reduction,metabolic,Perchlorate reduction,Perchlorate reduction,pcrB
